000850 华茂股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.18	5.24	5.04	5.05	2872251	15713158.000
01/05/2012	5.05	5.14	4.79	4.83	3153098	16661218.000
01/06/2012	4.83	4.87	4.65	4.79	3729516	18846700.000
01/09/2012	4.85	5.05	4.75	5.00	5113541	26756852.000
01/10/2012	5.02	5.26	4.97	5.23	7562398	41223636.000
01/11/2012	5.23	5.41	5.18	5.25	8026763	44756964.000
01/12/2012	5.20	5.48	5.20	5.38	7788919	44154376.000
01/13/2012	5.32	5.45	5.00	5.36	10308532	57309384.000
01/16/2012	5.28	5.35	5.15	5.30	4798713	26701180.000
01/17/2012	5.30	5.57	5.20	5.55	8427009	48437924.000
01/18/2012	5.55	5.75	5.47	5.57	9533606	56345048.000
01/19/2012	5.51	5.78	5.46	5.66	9381822	55412952.000
01/20/2012	5.68	5.89	5.55	5.83	9731632	59043480.000
01/30/2012	5.82	5.87	5.65	5.69	7339448	44262636.000
01/31/2012	5.69	5.73	5.53	5.69	6009210	35690088.000
02/02/2012	5.61	5.73	5.55	5.71	6725299	40075848.000
02/03/2012	5.71	5.77	5.63	5.72	7284043	43752812.000
02/06/2012	5.73	5.82	5.66	5.70	8433784	50886952.000
02/07/2012	5.64	5.65	5.35	5.39	10317610	59570316.000
02/08/2012	5.40	5.57	5.38	5.55	9215142	53283896.000
02/09/2012	5.53	5.70	5.50	5.60	9781499	57874848.000
02/10/2012	5.56	5.74	5.55	5.69	10850363	64812628.000
02/13/2012	5.64	5.73	5.59	5.67	13489019	80250080.000
02/14/2012	5.70	5.85	5.65	5.82	18457584	112192200.000
02/15/2012	5.80	5.88	5.73	5.85	13200009	80769440.000
02/16/2012	5.86	5.87	5.69	5.76	10174870	61906800.000
02/17/2012	5.79	5.82	5.71	5.77	6103757	36984188.000
02/20/2012	5.85	5.87	5.74	5.75	7294128	44391060.000
02/21/2012	5.74	5.78	5.61	5.76	7096853	42541916.000
02/22/2012	5.74	5.93	5.71	5.90	14460322	88965744.000
02/23/2012	5.89	6.04	5.88	5.97	14822382	92921728.000
02/24/2012	5.96	6.07	5.88	6.00	11132778	69850600.000
02/27/2012	6.02	6.22	5.97	6.09	17057088	109506264.000
02/28/2012	6.04	6.15	5.99	6.05	10601498	67552608.000
02/29/2012	6.03	6.07	5.91	5.92	7873898	49422784.000
03/01/2012	5.88	6.01	5.86	5.97	6873506	42982628.000
03/02/2012	5.97	6.18	5.97	6.17	11922763	76442128.000
03/05/2012	6.20	6.27	6.10	6.13	10648087	69195184.000
03/06/2012	6.12	6.18	5.98	6.03	8944436	56798492.000
03/07/2012	5.95	6.08	5.91	5.98	7486121	47078996.000
03/08/2012	6.04	6.26	6.04	6.16	15754922	102069072.000
03/09/2012	6.20	6.34	6.16	6.26	11232454	73575944.000
03/12/2012	6.27	6.36	6.19	6.24	9012756	59285264.000
03/13/2012	6.22	6.45	6.22	6.45	13787049	91926376.000
03/14/2012	6.46	6.52	6.04	6.20	20701952	136815680.000
03/15/2012	6.16	6.19	5.95	6.09	9267162	59078960.000
03/16/2012	6.11	6.22	6.03	6.22	8234904	53011836.000
03/19/2012	6.19	6.29	6.14	6.29	7033548	45920916.000
03/20/2012	6.25	6.28	6.04	6.06	8120809	52203888.000
03/21/2012	6.08	6.14	5.99	6.09	6799155	43236168.000
03/22/2012	6.13	6.35	6.07	6.27	10350803	67261864.000
03/23/2012	6.24	6.25	6.09	6.10	6545720	42274424.000
03/26/2012	6.08	6.10	5.93	6.06	7647689	48115464.000
03/27/2012	6.11	6.13	5.94	5.99	4358310	27599594.000
03/28/2012	5.97	5.97	5.69	5.72	7759814	47187920.000
03/29/2012	5.68	5.69	5.50	5.52	4497121	26481776.000
03/30/2012	5.54	5.71	5.36	5.65	7125920	41497624.000
04/05/2012	5.61	5.92	5.60	5.80	8796988	53376616.000
04/06/2012	5.78	5.84	5.69	5.76	6549231	39732252.000
04/09/2012	5.75	5.86	5.71	5.72	5128912	31228862.000
04/10/2012	5.67	5.75	5.54	5.74	6152512	36627532.000
04/11/2012	5.67	5.79	5.60	5.73	5322189	32026070.000
04/12/2012	5.76	6.01	5.72	5.97	15161273	93690560.000
04/13/2012	6.00	6.14	5.95	6.00	15494933	98326384.000
04/16/2012	5.90	6.34	5.86	6.23	21457668	138447312.000
04/17/2012	6.25	6.56	6.14	6.14	20987416	139274752.000
04/18/2012	6.19	6.40	6.01	6.33	18717572	122278784.000
04/19/2012	6.32	6.36	6.23	6.32	10631959	70072536.000
04/20/2012	6.32	6.67	6.30	6.55	21836764	148616176.000
04/23/2012	6.58	6.93	6.55	6.58	27842148	195473008.000
04/24/2012	6.48	6.70	6.28	6.69	19066240	129693688.000
04/25/2012	6.69	6.88	6.60	6.72	16670320	117498736.000
04/26/2012	6.78	6.78	6.46	6.53	13842281	95248104.000
04/27/2012	6.41	6.50	6.25	6.42	11418506	76114912.000
05/02/2012	6.61	6.64	6.44	6.50	10633072	72603240.000
05/03/2012	6.48	6.51	6.36	6.43	10150502	68248808.000
05/04/2012	6.41	6.48	6.29	6.44	8746004	58440660.000
05/07/2012	6.36	6.43	6.35	6.41	5907843	39501976.000
05/08/2012	6.40	6.51	6.33	6.46	8705231	58500048.000
05/09/2012	6.40	6.40	6.22	6.24	7595946	50224324.000
05/10/2012	6.26	6.30	6.19	6.24	5236404	34294568.000
05/11/2012	6.27	6.35	6.20	6.20	5954893	39122684.000
05/14/2012	6.26	6.34	6.19	6.25	7304000	48017948.000
05/15/2012	6.17	6.27	6.13	6.25	4170444	27043014.000
05/16/2012	6.21	6.27	6.06	6.06	4648806	30074006.000
05/18/2012	6.17	6.24	6.00	6.10	8179397	52709012.000
05/21/2012	6.05	6.13	5.99	6.00	4998510	31739940.000
05/22/2012	6.13	6.21	6.11	6.18	6875562	44472076.000
05/23/2012	6.16	6.30	6.14	6.29	8942431	58296424.000
05/24/2012	6.28	6.32	6.17	6.26	6581198	43109420.000
05/25/2012	6.24	6.42	6.20	6.42	13231339	87964016.000
05/28/2012	6.40	6.51	6.34	6.50	11869876	79877176.000
05/29/2012	6.50	6.67	6.41	6.55	14374762	98776336.000
05/30/2012	6.57	6.63	6.51	6.52	8459916	58089696.000
05/31/2012	6.47	6.53	6.41	6.47	8642837	58442736.000
06/01/2012	6.46	6.52	6.38	6.41	5376373	36279292.000
06/04/2012	6.29	6.29	6.02	6.07	8335261	53909620.000
06/05/2012	6.11	6.12	6.01	6.05	3764160	23918598.000
06/06/2012	6.03	6.12	5.94	5.98	5302660	33518404.000
06/07/2012	6.06	6.09	5.93	5.98	4293060	27160672.000
06/08/2012	6.04	6.10	5.98	5.99	4350824	27532926.000
06/11/2012	6.01	6.09	5.95	6.08	4355668	27544948.000
06/12/2012	6.05	6.07	5.99	6.00	2426920	15343929.000
06/13/2012	6.01	6.20	6.01	6.17	5513798	35474512.000
06/14/2012	6.19	6.43	6.17	6.30	10573273	70220712.000
06/15/2012	6.30	6.37	6.20	6.30	5598113	36923320.000
06/18/2012	6.30	6.47	6.30	6.38	5319984	35651516.000
06/19/2012	6.38	6.43	6.31	6.32	4595581	30614142.000
06/20/2012	6.39	6.39	6.25	6.27	3119998	20573524.000
06/21/2012	6.26	6.26	6.02	6.03	4902976	31369212.000
06/25/2012	6.00	6.17	5.94	6.12	4992201	31740904.000
06/26/2012	6.07	6.38	6.04	6.37	7381772	47937012.000
06/27/2012	6.33	6.52	6.30	6.36	10348233	69706872.000
06/28/2012	6.43	6.44	6.23	6.30	6877462	45623972.000
06/29/2012	6.25	6.55	6.23	6.50	10512717	70970768.000
07/02/2012	6.50	6.62	6.46	6.53	9191229	62871616.000
07/03/2012	6.75	7.15	6.60	6.89	31858829	228973568.000
07/04/2012	6.78	6.87	6.62	6.79	10385875	72967312.000
07/05/2012	6.71	6.72	6.46	6.54	7149643	48868980.000
07/06/2012	6.57	6.58	6.29	6.51	8637140	58212072.000
07/09/2012	6.42	6.48	6.16	6.24	6034197	40047160.000
07/10/2012	6.20	6.33	6.13	6.28	4652246	30391788.000
07/11/2012	6.28	6.37	6.20	6.26	4125861	27131140.000
07/12/2012	6.31	6.33	6.12	6.29	5929725	38781084.000
07/13/2012	6.23	6.29	6.11	6.14	5661411	36673500.000
07/16/2012	6.15	6.16	5.69	5.73	7919312	48373840.000
07/17/2012	5.71	5.81	5.63	5.76	4894262	29201212.000
07/18/2012	5.75	5.77	5.39	5.77	7331095	42770920.000
07/19/2012	5.67	5.83	5.64	5.77	5942050	35715116.000
07/20/2012	5.73	5.78	5.65	5.77	4756630	28422424.000
07/23/2012	5.74	5.74	5.66	5.69	1596850	9482546.000
07/24/2012	5.59	5.73	5.59	5.68	1907810	11316378.000
07/25/2012	5.68	5.71	5.56	5.56	2600808	15280693.000
07/26/2012	5.55	5.60	5.41	5.42	3144053	18089908.000
07/27/2012	5.56	5.60	5.33	5.57	3296160	18755218.000
07/30/2012	5.50	5.53	5.38	5.43	2007965	11434649.000
07/31/2012	5.42	5.43	5.25	5.30	2321714	12968879.000
08/01/2012	5.26	5.43	5.25	5.39	2382531	13365602.000
08/02/2012	5.35	5.38	5.25	5.33	2299525	12817511.000
08/03/2012	5.36	5.44	5.30	5.43	2028866	11423233.000
08/06/2012	5.37	5.59	5.37	5.56	2906228	16690409.000
08/07/2012	5.54	5.59	5.51	5.57	2311793	13402241.000
08/08/2012	5.57	5.69	5.54	5.62	3457766	20323632.000
08/09/2012	5.85	5.89	5.70	5.75	8591747	51819276.000
08/10/2012	5.70	5.74	5.62	5.66	4273691	25275662.000
08/13/2012	5.66	5.66	5.42	5.43	4403509	25470380.000
08/14/2012	5.44	5.54	5.37	5.52	2654496	15126978.000
08/15/2012	5.48	5.49	5.40	5.41	2229992	12689564.000
08/16/2012	5.38	5.46	5.38	5.38	1494153	8451487.000
08/17/2012	5.38	5.43	5.35	5.40	1613480	9098608.000
08/20/2012	5.35	5.40	5.26	5.36	2020186	11223369.000
08/21/2012	5.38	5.49	5.32	5.46	2820926	16027898.000
08/22/2012	5.47	5.48	5.41	5.46	1964998	11177759.000
08/23/2012	5.45	5.62	5.43	5.60	3099712	17886330.000
08/24/2012	5.55	5.58	5.41	5.56	2675676	15357990.000
08/27/2012	5.44	5.45	4.98	5.00	9587183	51419284.000
08/28/2012	5.00	5.09	4.89	5.01	4259177	22321362.000
08/29/2012	5.00	5.02	4.93	4.95	1763930	9218934.000
08/30/2012	4.92	4.99	4.82	4.94	3139787	16219838.000
08/31/2012	4.93	5.17	4.91	5.11	3383925	17910766.000
09/03/2012	5.12	5.17	5.05	5.13	2423075	13020118.000
09/04/2012	5.13	5.16	4.99	5.01	2008800	10681870.000
09/05/2012	4.98	5.10	4.97	5.04	1280474	6761626.500
09/06/2012	5.04	5.09	5.02	5.06	1322811	7010569.500
09/07/2012	5.13	5.42	5.09	5.30	6128918	33840228.000
09/10/2012	5.30	5.41	5.26	5.36	4015647	22422910.000
09/11/2012	5.32	5.33	5.25	5.30	2241481	12396575.000
09/12/2012	5.30	5.36	5.28	5.32	2239631	12455216.000
09/13/2012	5.33	5.36	5.25	5.25	2470840	13725874.000
09/14/2012	5.30	5.35	5.23	5.30	3350172	18548154.000
09/17/2012	5.30	5.30	5.00	5.01	2510900	13532018.000
09/18/2012	5.05	5.07	4.96	4.97	2339248	12313460.000
09/19/2012	4.99	5.02	4.93	4.98	3000777	15661542.000
09/20/2012	4.98	4.98	4.74	4.74	4417509	22453232.000
09/21/2012	4.72	4.82	4.67	4.74	3237885	16174071.000
09/24/2012	4.75	4.80	4.67	4.75	2252237	11232987.000
09/25/2012	4.75	4.78	4.68	4.69	1578067	7849220.500
09/26/2012	4.70	4.71	4.54	4.62	3519769	17132288.000
09/27/2012	4.60	4.78	4.58	4.75	4257252	21073256.000
09/28/2012	4.73	4.82	4.68	4.80	4327073	21729414.000
10/08/2012	4.79	4.85	4.75	4.79	2914274	14660859.000
10/09/2012	4.80	4.92	4.79	4.90	4849300	24842456.000
10/10/2012	4.87	4.96	4.85	4.92	4849711	24954104.000
10/11/2012	4.90	4.91	4.82	4.85	3563897	18221280.000
10/12/2012	4.85	4.91	4.79	4.85	2788450	14217965.000
10/15/2012	4.81	4.89	4.76	4.83	2843276	14439352.000
10/16/2012	4.84	4.87	4.80	4.84	2314015	11788932.000
10/17/2012	5.18	5.26	4.99	4.99	18299110	98261584.000
10/18/2012	4.90	5.06	4.90	5.01	9005713	47207596.000
10/19/2012	5.01	5.02	4.93	4.96	6293509	32836956.000
10/22/2012	4.92	4.99	4.86	4.97	4541480	23499096.000
10/23/2012	4.95	4.99	4.92	4.93	3449715	17939182.000
10/24/2012	4.91	4.94	4.87	4.91	2859361	14735768.000
10/25/2012	4.91	4.96	4.89	4.91	2765713	14304329.000
10/26/2012	4.88	4.91	4.69	4.77	4108646	20657022.000
10/29/2012	4.77	4.79	4.67	4.75	2679577	13333020.000
10/30/2012	4.74	4.77	4.71	4.75	2317917	11558870.000
10/31/2012	4.75	4.77	4.69	4.72	2485181	12340387.000
11/01/2012	4.73	4.87	4.72	4.86	5340875	26973040.000
11/02/2012	4.85	4.94	4.81	4.87	3671272	18712918.000
11/05/2012	4.85	4.89	4.79	4.81	2567096	13015468.000
11/06/2012	4.81	4.83	4.69	4.77	3145313	15691670.000
11/07/2012	4.77	4.78	4.71	4.77	1469389	7339661.000
11/08/2012	4.72	4.72	4.61	4.64	2690390	13228446.000
11/09/2012	4.62	4.68	4.60	4.64	2108207	10294013.000
11/12/2012	4.64	4.69	4.63	4.69	1766009	8654314.000
11/13/2012	4.69	4.69	4.55	4.58	2614351	12687389.000
11/14/2012	4.58	4.61	4.50	4.57	2362387	11335798.000
11/15/2012	4.55	4.55	4.39	4.39	2919706	13751841.000
11/16/2012	4.36	4.41	4.15	4.25	5212389	23420858.000
11/19/2012	4.24	4.27	4.20	4.26	1649900	7390900.500
11/20/2012	4.27	4.31	4.21	4.22	2338501	10505582.000
11/21/2012	4.23	4.28	4.15	4.26	2721017	12148927.000
11/22/2012	4.24	4.24	4.20	4.22	1644707	7350325.500
11/23/2012	4.23	4.32	4.23	4.28	2403131	10878610.000
11/26/2012	4.28	4.29	4.21	4.23	1385316	6214884.500
11/27/2012	4.23	4.23	4.06	4.10	2330800	10197293.000
11/28/2012	4.10	4.17	3.99	4.03	2040429	8779959.000
11/29/2012	4.04	4.12	3.89	3.93	2372538	10082873.000
11/30/2012	3.93	3.97	3.88	3.95	1864171	7798946.000
12/03/2012	3.96	4.02	3.88	3.91	1732506	7280464.000
12/04/2012	3.90	3.94	3.78	3.90	2605402	10676661.000
12/05/2012	3.90	4.08	3.89	4.02	6653851	28401598.000
12/06/2012	4.03	4.03	3.97	4.00	4096113	17386026.000
12/07/2012	3.99	4.15	3.99	4.14	6193359	26825394.000
12/10/2012	4.18	4.22	4.11	4.20	5989545	26504118.000
12/11/2012	4.17	4.19	4.10	4.14	4467490	19643940.000
12/12/2012	4.15	4.20	4.08	4.17	3481150	15276785.000
12/13/2012	4.14	4.15	4.01	4.03	3518553	15215077.000
12/14/2012	4.05	4.33	4.01	4.29	10932754	48920884.000
12/17/2012	4.29	4.37	4.22	4.33	7409101	33809320.000
12/18/2012	4.35	4.51	4.28	4.36	9502245	44206156.000
12/19/2012	4.34	4.44	4.30	4.36	6393742	29434564.000
12/20/2012	4.33	4.39	4.25	4.34	7658017	35014128.000
12/21/2012	4.34	4.42	4.30	4.34	5648842	25989476.000
12/24/2012	4.32	4.41	4.32	4.36	4709417	21739202.000
12/25/2012	4.35	4.50	4.30	4.47	9515905	44588096.000
12/26/2012	4.46	4.54	4.45	4.52	7517489	35689536.000
12/27/2012	4.54	4.66	4.47	4.55	9711994	46750796.000
12/28/2012	4.57	4.63	4.50	4.63	10345197	50029516.000
12/31/2012	4.64	4.89	4.64	4.84	16655608	83911536.000
01/04/2013	4.86	4.88	4.68	4.74	12715855	63663412.000
01/07/2013	4.74	4.75	4.65	4.68	9422911	46602452.000
01/08/2013	4.69	4.71	4.60	4.68	9650093	47374740.000
01/09/2013	4.67	4.72	4.64	4.71	8891839	43841684.000
01/10/2013	4.69	4.77	4.65	4.69	8847041	43874456.000
01/11/2013	4.70	4.72	4.50	4.53	10586086	51347668.000
01/14/2013	4.50	4.73	4.49	4.71	11911391	58224824.000
01/15/2013	4.69	4.78	4.69	4.75	11075508	55180232.000
01/16/2013	4.75	4.83	4.71	4.80	12363857	62002376.000
01/17/2013	4.80	4.85	4.68	4.73	9008245	45214188.000
01/18/2013	4.73	4.82	4.70	4.79	6614004	33195968.000
01/21/2013	4.81	4.81	4.75	4.75	7753532	38936268.000
01/22/2013	4.76	4.81	4.72	4.75	9321371	46754760.000
01/23/2013	4.72	4.74	4.58	4.67	7305904	35855584.000
01/24/2013	4.67	4.76	4.50	4.56	9695904	47511504.000
01/25/2013	4.54	4.56	4.49	4.51	4844015	23102192.000
01/28/2013	4.54	4.73	4.53	4.71	8442861	41296576.000
01/29/2013	4.72	4.87	4.68	4.81	14106051	71216592.000
01/30/2013	4.91	5.22	4.91	4.93	29793955	157299008.000
01/31/2013	4.92	5.07	4.87	5.00	16111013	83955304.000
02/01/2013	4.99	5.35	4.94	5.27	27180751	147241584.000
02/04/2013	5.42	5.66	5.29	5.30	41277837	235933840.000
02/05/2013	5.19	5.48	5.15	5.34	20862847	116881984.000
02/06/2013	5.33	5.71	5.28	5.59	28885189	167307872.000
02/07/2013	5.57	5.78	5.48	5.62	31060073	182984320.000
02/08/2013	5.57	5.63	5.47	5.54	14323962	82861352.000
02/18/2013	5.56	5.60	5.36	5.37	13744403	78116992.000
02/19/2013	5.35	5.42	5.24	5.26	10926993	60772944.000
02/20/2013	5.27	5.33	5.17	5.32	9141271	50315064.000
02/21/2013	5.25	5.27	5.07	5.15	11345961	61175536.000
02/22/2013	5.15	5.16	4.99	5.01	8181344	43623660.000
02/25/2013	5.01	5.10	4.98	5.06	7412384	39205676.000
02/26/2013	5.01	5.19	4.99	5.05	10081626	53962512.000
02/27/2013	5.09	5.19	5.06	5.12	6869753	36900792.000
02/28/2013	5.15	5.26	5.07	5.24	15374060	83491320.000
03/01/2013	5.23	5.26	5.10	5.16	11041080	59934812.000
03/04/2013	5.10	5.16	4.76	4.83	15273536	78723056.000
03/05/2013	4.84	4.98	4.80	4.93	10823090	55542944.000
03/06/2013	4.99	5.04	4.94	5.00	8859372	46465024.000
03/07/2013	4.99	5.02	4.87	4.93	7979704	41493476.000
03/08/2013	4.93	4.96	4.83	4.85	6829333	35017332.000
03/11/2013	4.83	4.91	4.80	4.87	4991412	25532554.000
03/12/2013	4.86	4.93	4.69	4.74	7738941	39034048.000
03/13/2013	4.72	4.77	4.64	4.75	5325611	26317652.000
03/14/2013	4.74	4.85	4.72	4.78	4807752	24262362.000
03/15/2013	4.78	4.90	4.65	4.82	8189318	41427036.000
03/18/2013	4.80	4.86	4.71	4.77	4483336	22528420.000
03/19/2013	4.75	4.80	4.66	4.78	4140214	20672236.000
03/20/2013	4.77	4.97	4.76	4.97	12382986	63841332.000
03/21/2013	4.96	5.04	4.95	5.00	10428024	54659696.000
03/22/2013	5.00	5.29	4.93	5.22	24072358	130084648.000
03/25/2013	5.24	5.25	5.08	5.14	12718329	68467536.000
03/26/2013	5.10	5.19	5.01	5.11	15431140	82616528.000
03/27/2013	5.12	5.19	5.03	5.06	8816577	47178992.000
03/28/2013	5.02	5.02	4.75	4.82	9231419	46973116.000
03/29/2013	4.80	4.86	4.71	4.81	7979451	40127224.000
04/01/2013	4.85	4.87	4.75	4.82	7023049	35570892.000
04/02/2013	4.80	4.86	4.76	4.83	6992988	35380196.000
04/03/2013	4.80	4.84	4.73	4.77	4625800	23255454.000
04/08/2013	4.65	4.81	4.61	4.79	4110008	20373376.000
04/09/2013	4.80	4.85	4.77	4.82	4413202	22334748.000
04/10/2013	4.82	4.91	4.76	4.83	4950773	25165216.000
04/11/2013	4.90	5.00	4.85	4.88	9132166	46983728.000
04/12/2013	4.88	4.88	4.73	4.74	5333113	26840002.000
04/15/2013	4.71	4.71	4.57	4.63	4772737	23372398.000
04/16/2013	4.57	4.71	4.55	4.69	3995065	19492380.000
04/17/2013	4.70	4.74	4.65	4.69	2555620	12611349.000
04/18/2013	4.67	4.81	4.62	4.71	3856022	19089862.000
04/19/2013	4.69	4.87	4.69	4.84	7846047	39750440.000
04/22/2013	4.82	4.84	4.76	4.80	4440600	22397496.000
04/23/2013	4.81	4.92	4.76	4.80	11502636	58553044.000
04/24/2013	4.82	4.87	4.72	4.85	8425802	42585044.000
