999999 上证指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2212.00	2217.52	2168.64	2169.39	49245537	40632918016.000
01/05/2012	2160.90	2183.40	2145.56	2148.45	58743447	46603964416.000
01/06/2012	2148.15	2164.32	2132.63	2163.39	50583054	39465869312.000
01/09/2012	2164.74	2226.22	2148.45	2225.89	76759839	62132965376.000
01/10/2012	2221.83	2288.63	2218.28	2285.74	109585415	91045904384.000
01/11/2012	2282.91	2290.64	2265.19	2276.05	84441781	74264707072.000
01/12/2012	2268.74	2295.22	2265.26	2275.01	71569994	63945879552.000
01/13/2012	2277.08	2281.53	2225.74	2244.58	71474322	64030023680.000
01/16/2012	2230.43	2241.26	2206.05	2206.19	45859522	42884792320.000
01/17/2012	2206.53	2298.38	2196.12	2298.38	87803560	77406846976.000
01/18/2012	2298.83	2311.58	2257.90	2266.38	89940422	80655237120.000
01/19/2012	2266.08	2305.71	2259.34	2296.08	72498861	63886737408.000
01/20/2012	2300.50	2322.89	2293.89	2319.12	69922753	62906417152.000
01/30/2012	2324.49	2324.49	2284.29	2285.04	58413687	51868459008.000
01/31/2012	2285.95	2296.38	2277.06	2292.61	48738325	43777519616.000
02/01/2012	2288.07	2305.86	2263.34	2268.08	53553811	48554971136.000
02/02/2012	2273.85	2312.56	2268.69	2312.56	63471872	57682362368.000
02/03/2012	2306.66	2336.27	2300.98	2330.40	78943697	70249340928.000
02/06/2012	2334.25	2341.58	2317.42	2331.14	75734477	67305627648.000
02/07/2012	2319.42	2319.71	2278.82	2291.90	67326906	58091081728.000
02/08/2012	2291.81	2350.96	2286.82	2347.53	87114528	80885694464.000
02/09/2012	2344.22	2363.61	2333.93	2349.59	98032325	89658695680.000
02/10/2012	2342.01	2368.98	2339.88	2351.98	96501619	82222465024.000
02/13/2012	2332.05	2365.34	2325.03	2351.85	86263585	77715390464.000
02/14/2012	2348.88	2352.47	2332.25	2344.77	73130413	66294935552.000
02/15/2012	2340.45	2374.28	2335.10	2366.70	98861021	87632871424.000
02/16/2012	2363.90	2373.80	2342.07	2356.86	95051169	83758448640.000
02/17/2012	2366.63	2372.51	2344.76	2357.18	71924839	65121697792.000
02/20/2012	2383.69	2388.01	2362.01	2363.60	88911586	82306949120.000
02/21/2012	2365.49	2382.15	2345.05	2381.43	79348669	74538524672.000
02/22/2012	2380.50	2404.44	2374.03	2403.59	118684269	109092241408.000
02/23/2012	2401.74	2416.80	2396.71	2409.55	112553593	105469681664.000
02/24/2012	2410.88	2439.98	2405.27	2439.63	134903249	121550209024.000
02/27/2012	2447.41	2478.38	2444.63	2447.06	158073244	144685596672.000
02/28/2012	2440.91	2458.65	2431.83	2451.86	118361993	107000291328.000
02/29/2012	2446.23	2453.07	2426.33	2428.49	95536952	91908382720.000
03/01/2012	2418.79	2437.87	2418.33	2426.11	75083289	71067885568.000
03/02/2012	2430.10	2461.12	2430.10	2460.69	103228378	96453869568.000
03/05/2012	2464.85	2469.84	2442.11	2445.00	112693326	107604369408.000
03/06/2012	2439.78	2442.00	2406.06	2410.45	103709012	100674338816.000
03/07/2012	2391.20	2413.69	2388.52	2394.79	94790636	91730681856.000
03/08/2012	2401.10	2426.70	2401.10	2420.28	96782134	93410828288.000
03/09/2012	2425.89	2440.51	2414.97	2439.46	100624055	100411482112.000
03/12/2012	2438.55	2440.86	2420.84	2434.86	106223059	108158107648.000
03/13/2012	2432.84	2457.22	2428.61	2455.80	104649712	102576930816.000
03/14/2012	2464.92	2476.22	2382.84	2391.23	179786029	170736648192.000
03/15/2012	2388.06	2403.74	2366.02	2373.77	120025499	112260874240.000
03/16/2012	2377.76	2406.15	2368.31	2404.74	103675622	102406004736.000
03/19/2012	2401.22	2412.34	2383.67	2410.18	102153490	102981664768.000
03/20/2012	2407.54	2407.54	2376.03	2376.84	97903935	94620917760.000
03/21/2012	2384.71	2396.72	2361.22	2378.20	95686538	94949638144.000
03/22/2012	2376.99	2386.10	2364.13	2375.77	79348880	76900868096.000
03/23/2012	2369.08	2371.26	2342.12	2349.54	76862139	74138714112.000
03/26/2012	2349.09	2358.00	2339.14	2350.60	55427733	54051831808.000
03/27/2012	2358.55	2363.77	2344.30	2347.18	60881116	65159970816.000
03/28/2012	2341.00	2341.42	2281.43	2284.88	83645283	78231142400.000
03/29/2012	2276.74	2280.96	2242.35	2252.16	74248084	68018094080.000
03/30/2012	2256.04	2266.21	2246.25	2262.79	62024147	55962030080.000
04/05/2012	2258.03	2303.82	2251.39	2302.24	80101456	74602340352.000
04/06/2012	2299.06	2309.64	2291.56	2306.55	72136521	68863352832.000
04/09/2012	2300.05	2304.65	2284.44	2285.78	59760639	55129722880.000
04/10/2012	2281.02	2306.39	2258.85	2305.86	67345526	63133962240.000
04/11/2012	2286.72	2319.05	2280.04	2308.93	75130070	67516502016.000
04/12/2012	2310.48	2351.06	2307.84	2350.86	97687895	87315824640.000
04/13/2012	2351.51	2369.70	2346.94	2359.16	98774414	92321431552.000
04/16/2012	2346.31	2364.11	2342.20	2357.03	85322682	73752829952.000
04/17/2012	2355.37	2363.01	2333.34	2334.99	84688445	72470716416.000
04/18/2012	2341.14	2383.64	2337.86	2380.85	108612544	93123035136.000
04/19/2012	2378.63	2386.98	2369.46	2378.63	94272421	89960923136.000
04/20/2012	2374.66	2407.29	2372.13	2406.86	115522062	101772107776.000
04/23/2012	2403.52	2411.51	2383.07	2388.59	122907558	109412433920.000
