002093 国脉科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.40	6.54	6.22	6.24	7522890	48585948.000
01/05/2012	6.08	6.10	5.61	5.61	12679794	73133304.000
01/06/2012	5.50	5.71	5.37	5.65	5847101	32412980.000
01/09/2012	5.66	5.89	5.58	5.89	7495926	43699004.000
01/10/2012	5.87	6.20	5.83	6.14	9870958	60378540.000
01/11/2012	6.08	6.44	5.97	6.23	11814382	74186336.000
01/12/2012	6.19	6.29	6.10	6.11	7758095	48108080.000
01/13/2012	6.11	6.11	5.60	5.66	10090254	59078312.000
01/16/2012	5.51	5.87	5.43	5.67	7156211	41382608.000
01/17/2012	5.60	6.02	5.52	6.02	10493733	61429228.000
01/18/2012	6.05	6.16	5.76	5.85	9874136	59143520.000
01/19/2012	5.86	5.95	5.75	5.83	5942222	34907704.000
01/20/2012	5.90	5.90	5.74	5.79	6736304	39312544.000
01/30/2012	5.83	5.88	5.75	5.76	4559674	26609596.000
01/31/2012	5.76	5.77	5.54	5.68	4673080	26507796.000
02/01/2012	5.68	5.77	5.62	5.67	3687670	21146380.000
02/02/2012	5.70	5.83	5.65	5.82	4661121	26863704.000
02/03/2012	5.80	5.97	5.76	5.94	7709611	45590356.000
02/06/2012	6.00	6.01	5.88	5.97	7020868	42043724.000
02/07/2012	5.95	5.95	5.78	5.82	5276306	31039416.000
02/08/2012	5.82	5.96	5.74	5.96	5678899	33576672.000
02/09/2012	5.95	6.25	5.93	6.07	15233352	93368160.000
02/10/2012	6.07	6.15	5.97	6.09	9153585	55729788.000
02/13/2012	6.02	6.25	5.98	6.18	12111838	74839184.000
02/14/2012	6.18	6.18	6.04	6.12	7707266	47300488.000
02/15/2012	6.09	6.46	6.06	6.36	17815168	112916096.000
02/16/2012	6.37	6.49	6.20	6.32	14495182	92413080.000
02/17/2012	6.32	6.55	6.27	6.52	17359503	112074848.000
02/20/2012	6.62	6.82	6.39	6.40	22950103	152402096.000
02/21/2012	6.36	6.54	6.29	6.52	14250192	91951112.000
02/22/2012	6.52	7.18	6.50	7.18	38869745	272595904.000
02/23/2012	7.27	7.68	7.18	7.41	63294694	470917760.000
02/24/2012	7.36	7.38	7.17	7.33	33592323	245453776.000
02/27/2012	7.32	7.92	7.23	7.41	52060118	396230688.000
02/28/2012	7.39	7.65	7.26	7.54	34544374	259638816.000
02/29/2012	7.50	7.52	7.23	7.24	19869164	146141456.000
03/01/2012	7.21	7.46	7.18	7.28	18664789	137489648.000
03/02/2012	7.28	7.43	7.27	7.41	17684976	130781280.000
03/05/2012	7.41	7.49	7.32	7.35	17945366	133307808.000
03/06/2012	7.32	7.40	7.13	7.36	18245771	132585304.000
03/07/2012	7.29	7.56	7.23	7.35	24454630	182647840.000
03/08/2012	7.39	7.61	7.39	7.54	25325658	190558752.000
03/09/2012	7.55	7.67	7.47	7.58	22151245	168618320.000
03/12/2012	7.60	7.67	7.40	7.52	17595020	132649912.000
03/13/2012	7.49	7.57	7.38	7.48	13881413	103976728.000
03/14/2012	7.51	7.61	6.78	6.87	27854812	203882192.000
03/15/2012	6.88	6.96	6.60	6.72	17892079	120887792.000
03/16/2012	6.72	6.88	6.66	6.86	12330137	84149656.000
03/19/2012	6.87	6.94	6.80	6.93	11267286	77848936.000
03/20/2012	6.87	6.92	6.59	6.60	16553179	110952032.000
03/21/2012	6.65	6.71	6.49	6.67	12073343	79956064.000
03/22/2012	6.62	6.66	6.52	6.58	7298376	48255268.000
03/23/2012	6.57	6.58	6.27	6.31	9845492	63445740.000
03/26/2012	6.30	6.37	6.26	6.33	5796243	36768764.000
03/27/2012	6.37	6.42	6.33	6.36	7142255	45762204.000
03/28/2012	6.31	6.32	5.97	6.02	10572897	64673904.000
03/29/2012	6.00	6.05	5.78	5.99	8637203	51712976.000
03/30/2012	6.06	6.15	5.93	6.07	7071158	42979200.000
04/05/2012	6.12	6.31	6.04	6.27	10446565	65032692.000
04/06/2012	6.22	6.40	6.19	6.30	10719295	67818480.000
04/09/2012	6.27	6.35	6.08	6.09	7090303	44357556.000
04/11/2012	6.15	6.40	6.12	6.28	10940929	68935440.000
04/12/2012	6.28	6.45	6.28	6.43	12167116	78035544.000
04/13/2012	6.44	6.50	6.35	6.48	12282431	79446632.000
04/16/2012	6.41	6.47	6.34	6.41	11664784	74927976.000
04/17/2012	6.43	6.61	6.32	6.49	16500062	107578360.000
04/18/2012	6.49	6.69	6.44	6.66	18536717	122621544.000
04/19/2012	6.65	6.72	6.50	6.61	12609523	83740240.000
04/20/2012	6.59	6.75	6.51	6.67	15845186	105578064.000
04/24/2012	6.47	6.47	6.00	6.16	24610846	151795392.000
04/25/2012	6.09	6.26	5.95	6.18	14085347	86790544.000
04/26/2012	6.18	6.21	6.02	6.04	13764457	84500696.000
04/27/2012	6.06	6.13	5.87	5.93	11239860	67583688.000
05/02/2012	6.08	6.16	5.98	6.11	10634452	64780484.000
05/03/2012	6.11	6.14	6.04	6.08	7849667	47993420.000
05/04/2012	6.10	6.19	6.08	6.19	11216921	69201224.000
05/07/2012	6.15	6.22	6.09	6.22	9518157	58761428.000
05/08/2012	6.22	6.31	6.15	6.28	12599853	79044112.000
05/09/2012	6.22	6.29	6.14	6.15	9268869	57822504.000
05/10/2012	6.12	6.27	6.08	6.20	7489905	46684996.000
05/11/2012	6.24	6.24	6.01	6.03	11101975	68031848.000
05/14/2012	6.09	6.11	5.96	5.96	7989042	48292764.000
05/15/2012	5.91	5.92	5.80	5.92	6894237	40575804.000
05/16/2012	5.91	5.99	5.88	5.91	5602150	33477926.000
05/17/2012	5.91	6.01	5.90	6.00	4690099	28102072.000
05/18/2012	5.99	5.99	5.82	5.85	5814875	34513596.000
05/21/2012	5.83	5.89	5.79	5.83	3415874	20050510.000
05/22/2012	5.89	5.91	5.83	5.87	5577815	32863410.000
05/23/2012	5.91	5.91	5.80	5.84	4627999	27259018.000
05/24/2012	5.84	5.99	5.77	5.94	6772940	40151628.000
05/25/2012	5.92	5.95	5.80	5.81	5286413	31149088.000
05/28/2012	5.82	5.85	5.57	5.85	6445657	37051064.000
05/29/2012	5.85	5.94	5.81	5.92	7852697	46629840.000
05/30/2012	5.91	6.04	5.89	5.97	8147593	48863552.000
05/31/2012	5.93	6.02	5.90	5.97	4998678	29922060.000
06/01/2012	5.97	6.02	5.85	5.89	5686887	33932248.000
06/04/2012	5.80	5.80	5.60	5.60	7593654	43430168.000
06/05/2012	5.62	5.66	5.58	5.59	3434433	19361802.000
06/06/2012	5.62	5.66	5.57	5.61	3036003	17129560.000
06/07/2012	5.72	5.72	5.57	5.58	3249543	18379672.000
06/08/2012	5.63	5.64	5.56	5.56	2552554	14342805.000
06/11/2012	5.57	5.67	5.56	5.64	2383982	13468649.000
06/12/2012	5.63	5.63	5.57	5.58	2069701	11634964.000
06/13/2012	5.62	5.68	5.57	5.67	3052152	17284332.000
06/14/2012	5.72	5.92	5.70	5.75	9193640	53842276.000
06/15/2012	5.77	5.79	5.68	5.74	3857777	22231000.000
06/18/2012	5.77	5.84	5.74	5.75	3679360	21400080.000
06/19/2012	5.70	5.79	5.70	5.72	2596411	14987117.000
06/20/2012	5.73	5.87	5.72	5.78	7046133	41193068.000
06/21/2012	5.76	5.77	5.62	5.64	4076789	23264826.000
06/25/2012	5.65	5.67	5.46	5.47	3953765	22048078.000
06/26/2012	5.46	5.53	5.42	5.49	2846256	15665908.000
06/27/2012	5.47	5.54	5.45	5.48	2498878	13816020.000
06/28/2012	5.47	5.51	5.37	5.38	3512864	19148330.000
06/29/2012	5.37	5.38	5.27	5.38	4622955	24741654.000
07/02/2012	5.41	5.43	5.34	5.36	2808258	15199689.000
07/03/2012	5.36	5.43	5.33	5.36	2772729	15002232.000
07/04/2012	5.37	5.42	5.32	5.33	2513659	13531545.000
07/05/2012	5.32	5.32	5.00	5.05	6045946	31085456.000
07/06/2012	5.10	5.13	4.88	5.08	5252294	26397294.000
07/09/2012	5.08	5.08	4.86	4.87	3652962	18251178.000
07/10/2012	4.87	4.90	4.72	4.76	3845327	18511628.000
07/11/2012	4.82	4.84	4.75	4.84	2438241	11775936.000
07/12/2012	4.85	4.94	4.75	4.89	3625478	17713556.000
07/13/2012	4.92	4.92	4.81	4.83	2538024	12419593.000
07/16/2012	4.83	4.85	4.49	4.50	4130940	19300716.000
07/17/2012	4.49	4.59	4.43	4.57	2348832	10712572.000
07/18/2012	4.57	4.66	4.51	4.62	2415512	11133225.000
07/19/2012	4.58	4.71	4.57	4.66	3596514	16902286.000
07/20/2012	4.66	4.83	4.63	4.71	4242222	20168644.000
07/23/2012	4.67	4.78	4.57	4.66	3063425	14357912.000
07/24/2012	4.64	4.72	4.58	4.69	2810091	13168392.000
07/25/2012	4.67	4.71	4.63	4.64	2224445	10423011.000
07/26/2012	4.65	4.68	4.57	4.58	2333297	10862802.000
07/27/2012	4.60	4.63	4.53	4.54	2620200	12047638.000
07/30/2012	4.56	4.57	4.38	4.42	2511543	11307057.000
07/31/2012	4.42	4.46	4.30	4.30	2523991	11025711.000
08/01/2012	4.30	4.41	4.30	4.37	2082406	9175961.000
08/02/2012	4.37	4.43	4.30	4.33	2271280	9972865.000
08/03/2012	4.33	4.45	4.33	4.45	2697731	11965858.000
08/06/2012	4.42	4.60	4.40	4.58	3664676	16716001.000
08/07/2012	4.58	4.63	4.55	4.58	3535416	16303326.000
08/08/2012	4.60	4.74	4.58	4.63	5605793	26246596.000
08/09/2012	4.63	4.66	4.57	4.66	4741916	22062250.000
08/10/2012	4.67	4.83	4.67	4.76	8252909	39400640.000
08/13/2012	4.74	4.74	4.53	4.54	5364993	25054312.000
08/14/2012	4.53	4.66	4.49	4.66	4707742	21652288.000
08/15/2012	4.67	4.69	4.53	4.55	2852538	13185318.000
08/16/2012	4.55	4.58	4.43	4.47	3434905	15532919.000
08/17/2012	4.45	4.52	4.43	4.50	2490879	11209928.000
08/20/2012	4.47	4.51	4.41	4.47	2373114	10641430.000
08/21/2012	4.49	4.66	4.49	4.63	6539212	30254802.000
08/22/2012	4.63	4.64	4.53	4.57	4381165	20148130.000
08/23/2012	4.57	4.69	4.56	4.65	5730101	26661538.000
08/24/2012	4.65	4.72	4.47	4.49	5917614	27293010.000
08/27/2012	4.41	4.43	4.23	4.25	7165271	30857778.000
08/28/2012	4.22	4.35	4.22	4.26	3862958	16654534.000
08/29/2012	4.23	4.35	4.23	4.29	3805549	16523926.000
08/30/2012	4.26	4.36	4.20	4.29	3775385	16302921.000
08/31/2012	4.24	4.29	4.21	4.26	3416501	14596945.000
09/03/2012	4.26	4.32	4.19	4.32	4171251	17991660.000
09/04/2012	4.33	4.40	4.29	4.30	4441441	19367196.000
09/05/2012	4.28	4.73	4.25	4.55	15735585	71114712.000
09/06/2012	4.51	4.59	4.44	4.52	9451057	42888100.000
09/07/2012	4.59	4.75	4.54	4.67	14147463	66172900.000
09/10/2012	4.67	4.73	4.62	4.68	8780750	41368896.000
09/11/2012	4.68	4.72	4.60	4.70	8215535	38629208.000
09/12/2012	4.73	4.87	4.69	4.82	10771538	51774804.000
09/13/2012	4.82	4.82	4.68	4.68	8716716	41545992.000
09/14/2012	4.70	4.74	4.59	4.65	5489389	25752238.000
09/17/2012	4.62	4.66	4.52	4.53	5284934	24383588.000
09/18/2012	4.52	4.59	4.48	4.55	2857945	13066839.000
09/19/2012	4.59	5.01	4.54	5.01	22464914	111689936.000
09/20/2012	5.15	5.15	4.69	4.85	35033522	173856736.000
09/21/2012	4.70	4.79	4.54	4.54	15797151	73940632.000
09/24/2012	4.46	4.53	4.37	4.48	9097295	40775396.000
09/25/2012	4.48	4.77	4.48	4.49	11553554	53637248.000
09/26/2012	4.41	4.90	4.37	4.71	21592255	101007152.000
09/27/2012	4.61	4.85	4.54	4.79	22130656	105870928.000
09/28/2012	4.73	4.93	4.64	4.82	16788667	80800848.000
10/08/2012	4.79	4.89	4.74	4.83	8739360	42291512.000
10/09/2012	4.83	4.92	4.79	4.91	13235130	64943680.000
10/10/2012	4.88	5.02	4.83	4.93	16120192	80123328.000
10/11/2012	4.88	4.91	4.75	4.75	10499690	50767072.000
10/12/2012	4.75	4.83	4.67	4.77	7195772	34430692.000
10/15/2012	4.79	4.79	4.62	4.70	4731011	22286402.000
10/16/2012	4.69	4.71	4.59	4.67	5338389	25056718.000
10/17/2012	4.67	4.78	4.62	4.73	6512153	30884066.000
10/18/2012	4.70	4.83	4.70	4.80	7826031	37646536.000
10/19/2012	4.80	4.82	4.73	4.74	4677858	22485256.000
10/22/2012	4.69	4.71	4.61	4.68	5983997	28030910.000
10/23/2012	4.69	4.73	4.63	4.64	4492200	21165800.000
10/24/2012	4.62	4.66	4.58	4.64	3762992	17527914.000
10/25/2012	4.65	4.67	4.58	4.59	3909685	18180996.000
10/26/2012	4.58	4.61	4.39	4.40	5805204	26040518.000
10/29/2012	4.39	4.43	4.33	4.40	2649206	11701303.000
10/30/2012	4.40	4.47	4.40	4.40	2220283	9904374.000
10/31/2012	4.42	4.43	4.37	4.41	2303230	10212146.000
11/01/2012	4.42	4.53	4.41	4.46	3549922	15999270.000
11/02/2012	4.47	4.52	4.45	4.52	3183005	14390852.000
11/05/2012	4.52	4.53	4.45	4.47	3188335	14391603.000
11/06/2012	4.45	4.47	4.35	4.40	3476381	15356013.000
11/07/2012	4.40	4.43	4.36	4.37	2907223	12843708.000
11/08/2012	4.37	4.50	4.29	4.39	6564697	29012792.000
11/09/2012	4.35	4.47	4.30	4.30	3604276	15748577.000
11/12/2012	4.32	4.35	4.29	4.32	2052279	8919159.000
11/13/2012	4.33	4.33	4.20	4.22	3534104	15196970.000
11/14/2012	4.22	4.25	4.20	4.24	1701141	7242407.000
11/15/2012	4.23	4.24	3.97	4.03	4492422	18663732.000
11/16/2012	4.03	4.08	3.94	4.07	4272216	17228612.000
11/19/2012	4.05	4.05	3.97	4.03	2336144	9440114.000
11/20/2012	4.04	4.07	3.98	3.99	2305701	9347690.000
11/21/2012	4.01	4.05	3.92	4.05	3405717	13689005.000
11/22/2012	4.03	4.03	3.97	3.99	1881224	7586503.000
11/23/2012	3.99	4.03	3.99	4.00	1501738	6063480.000
11/26/2012	4.00	4.02	3.92	3.92	1735016	6915561.000
11/27/2012	3.93	3.94	3.69	3.70	4061699	15518649.000
11/28/2012	3.69	3.69	3.63	3.67	2481691	9160599.000
11/29/2012	3.66	3.71	3.60	3.61	1908230	7054658.000
11/30/2012	3.61	3.68	3.60	3.66	1768730	6504246.500
12/03/2012	3.65	3.68	3.59	3.59	2075137	7619245.500
12/04/2012	3.59	3.71	3.51	3.68	3382989	12299724.000
12/05/2012	3.67	3.85	3.64	3.81	4813747	18339846.000
12/06/2012	3.81	3.91	3.76	3.77	3163807	12163094.000
12/07/2012	3.79	3.87	3.73	3.85	4100371	15838269.000
12/10/2012	3.83	3.92	3.82	3.90	4551932	17787338.000
12/11/2012	3.89	3.93	3.86	3.86	3712941	14556147.000
12/12/2012	3.87	3.89	3.81	3.85	2717436	10534087.000
12/13/2012	3.87	3.91	3.78	3.79	2392393	9264852.000
12/14/2012	3.79	3.96	3.79	3.95	6690892	26400560.000
12/17/2012	3.95	4.16	3.91	4.05	7962266	32239176.000
12/18/2012	4.00	4.07	3.94	4.00	6662220	26985810.000
12/19/2012	4.00	4.11	3.97	4.04	5704501	23315982.000
12/20/2012	4.01	4.06	3.96	4.02	5160319	20803760.000
12/21/2012	4.03	4.05	3.96	3.98	3565675	14364457.000
12/24/2012	3.99	4.01	3.96	3.99	3156874	12667056.000
12/25/2012	3.98	4.09	3.97	4.06	6082536	24839034.000
12/26/2012	4.07	4.15	4.04	4.13	6782844	28011820.000
12/27/2012	4.14	4.16	4.05	4.06	5884103	24271232.000
12/28/2012	4.07	4.09	4.03	4.08	5108318	20916850.000
12/31/2012	4.09	4.12	4.06	4.09	4623681	19049326.000
01/04/2013	4.12	4.14	4.05	4.07	4076526	16766524.000
01/07/2013	4.07	4.10	4.02	4.10	5077306	20751830.000
01/08/2013	4.10	4.33	4.08	4.29	19661467	83604608.000
01/09/2013	4.23	4.32	4.18	4.29	10821818	46428328.000
01/10/2013	4.30	4.30	4.23	4.27	5221593	22413804.000
01/11/2013	4.27	4.52	4.25	4.29	16148824	71125888.000
01/14/2013	4.25	4.47	4.19	4.42	13833409	60637520.000
01/15/2013	4.55	4.76	4.55	4.70	24493431	114501552.000
01/16/2013	4.59	4.69	4.45	4.63	12012514	55442960.000
01/17/2013	4.61	4.61	4.42	4.43	11270041	50822908.000
01/18/2013	4.43	4.50	4.38	4.45	8527675	38090984.000
01/21/2013	4.48	4.55	4.44	4.48	7874635	35529292.000
01/22/2013	4.45	4.52	4.33	4.37	8174813	36513112.000
01/23/2013	4.37	4.41	4.27	4.40	5931117	25920872.000
01/24/2013	4.40	4.45	4.19	4.23	9205149	40055884.000
01/25/2013	4.24	4.26	4.17	4.18	4139017	17547766.000
01/28/2013	4.17	4.28	4.17	4.27	4822717	20570224.000
01/29/2013	4.27	4.33	4.27	4.32	4623993	20048206.000
01/30/2013	4.32	4.33	4.25	4.31	4979418	21533254.000
01/31/2013	4.30	4.36	4.27	4.30	5379950	23364596.000
02/01/2013	4.28	4.33	4.25	4.32	4631124	20065752.000
02/04/2013	4.35	4.38	4.27	4.34	4608512	19995804.000
02/05/2013	4.30	4.34	4.28	4.33	4033761	17502352.000
02/06/2013	4.34	4.40	4.33	4.36	4384815	19311350.000
02/07/2013	4.36	4.42	4.31	4.35	2912467	12747383.000
02/08/2013	4.37	4.43	4.35	4.42	4912117	21759926.000
02/18/2013	4.44	4.48	4.39	4.41	5602836	24984630.000
02/19/2013	4.41	4.43	4.31	4.32	5071344	22233352.000
02/20/2013	4.32	4.48	4.27	4.47	10270667	45222080.000
02/21/2013	4.41	4.44	4.31	4.33	7704190	34019508.000
02/22/2013	4.35	4.41	4.32	4.35	4699387	20633114.000
02/25/2013	4.36	4.37	4.29	4.34	4183007	18225992.000
02/26/2013	4.31	4.36	4.22	4.22	5111503	22081154.000
02/27/2013	4.23	4.28	4.19	4.21	3637484	15472425.000
02/28/2013	4.22	4.31	4.21	4.31	4114949	17674938.000
03/01/2013	4.30	4.39	4.27	4.39	7197918	31365076.000
03/04/2013	4.35	4.35	4.17	4.21	6523346	27964894.000
03/05/2013	4.22	4.33	4.20	4.32	5613563	24202938.000
03/06/2013	4.32	4.54	4.30	4.46	14842306	66661172.000
03/07/2013	4.47	4.91	4.45	4.87	64002305	309556864.000
03/08/2013	4.72	4.85	4.59	4.65	27376733	129358128.000
03/11/2013	4.63	4.75	4.60	4.65	11981107	56254488.000
03/12/2013	4.65	4.69	4.42	4.47	13231163	60266568.000
03/13/2013	4.48	4.55	4.38	4.50	8381959	37732260.000
03/14/2013	4.52	4.56	4.46	4.50	6122282	27787100.000
03/15/2013	4.52	4.71	4.48	4.63	13926423	64889472.000
03/18/2013	4.64	4.68	4.48	4.50	8577491	39583764.000
03/19/2013	4.47	4.50	4.34	4.42	7475035	33202242.000
03/20/2013	4.41	4.55	4.39	4.55	7972656	35962836.000
03/21/2013	4.55	4.64	4.51	4.57	7726717	35510888.000
03/22/2013	4.55	4.83	4.51	4.70	17670575	83689656.000
03/25/2013	4.72	4.76	4.54	4.61	11726746	54465128.000
03/26/2013	4.61	4.76	4.48	4.72	14994673	70197720.000
03/27/2013	4.70	4.80	4.64	4.75	16485204	78423008.000
03/28/2013	4.71	4.71	4.55	4.59	10767158	50188164.000
03/29/2013	4.59	4.71	4.58	4.66	10017075	46986576.000
04/01/2013	4.64	4.90	4.61	4.77	18239641	87391856.000
04/02/2013	4.75	4.82	4.68	4.69	10597130	50476344.000
04/03/2013	4.66	4.68	4.46	4.49	9770449	44766652.000
04/08/2013	4.38	4.49	4.32	4.45	6315255	27881444.000
04/09/2013	4.48	4.55	4.43	4.50	5641652	25517642.000
04/10/2013	4.49	4.52	4.42	4.46	3780507	17007060.000
04/11/2013	4.49	4.55	4.46	4.51	4645012	21073962.000
04/12/2013	4.51	4.53	4.41	4.42	4920479	22175872.000
04/15/2013	4.40	4.55	4.33	4.49	7358949	33114962.000
04/16/2013	4.44	4.57	4.40	4.57	5765601	26250092.000
04/17/2013	4.57	4.65	4.52	4.60	5785975	26734496.000
04/18/2013	4.59	4.69	4.54	4.61	7312229	34050476.000
04/19/2013	4.60	4.69	4.60	4.62	10680019	49913652.000
04/22/2013	4.60	4.79	4.54	4.75	15525046	73105552.000
04/23/2013	4.73	4.82	4.61	4.61	13233665	62693692.000
04/24/2013	4.62	4.92	4.61	4.88	30094613	146549600.000
04/25/2013	4.84	4.92	4.74	4.81	20146392	98265656.000
04/26/2013	4.79	4.86	4.53	4.60	16390056	77398280.000
05/02/2013	4.57	4.76	4.52	4.74	9545356	44824552.000
05/03/2013	4.75	5.03	4.72	5.02	30203132	148957248.000
05/06/2013	4.99	5.13	4.97	5.02	29918236	151948448.000
05/07/2013	5.02	5.26	4.98	5.09	28494986	147359792.000
05/08/2013	5.13	5.24	5.07	5.20	23286035	120857600.000
05/09/2013	5.15	5.40	5.09	5.36	27037822	141803632.000
05/10/2013	5.27	5.39	5.22	5.27	19366099	103255456.000
05/13/2013	5.22	5.28	5.11	5.18	15243487	79283056.000
05/14/2013	5.14	5.25	5.11	5.17	12520391	65131800.000
05/15/2013	5.16	5.35	5.13	5.34	15840601	83433368.000
05/16/2013	5.31	5.49	5.17	5.20	27842741	150004048.000
05/17/2013	5.18	5.49	5.05	5.37	25939995	137831136.000
05/20/2013	5.51	5.75	5.38	5.62	27429915	154102336.000
05/21/2013	5.56	5.95	5.50	5.86	29136966	170117680.000
05/22/2013	5.82	5.94	5.65	5.71	24273531	140765392.000
05/23/2013	5.66	6.28	5.63	6.11	50522321	310291680.000
05/24/2013	6.22	6.30	6.07	6.24	34151638	212571200.000
05/27/2013	6.25	6.26	6.06	6.20	26760263	165313952.000
05/28/2013	6.15	6.17	5.83	6.04	27984020	168217520.000
05/29/2013	5.98	6.10	5.91	6.09	16042604	96927264.000
05/30/2013	6.03	6.05	5.86	5.88	18164315	108477168.000
05/31/2013	5.88	5.98	5.78	5.81	15656876	92751376.000
06/03/2013	5.86	5.95	5.79	5.80	14389980	84809656.000
06/04/2013	5.79	5.79	5.41	5.57	17974228	101082040.000
06/05/2013	5.52	5.63	5.45	5.58	9195046	51186124.000
06/06/2013	5.55	5.57	5.44	5.45	7797496	43059612.000
06/07/2013	5.46	5.65	5.38	5.62	13087465	72661808.000
06/13/2013	5.55	5.55	5.16	5.32	10212571	54908336.000
06/14/2013	5.34	5.62	5.33	5.57	11191471	61572592.000
06/17/2013	5.59	5.72	5.52	5.58	12813913	72526592.000
06/18/2013	5.58	5.96	5.51	5.93	24367885	141579584.000
06/19/2013	5.88	5.89	5.69	5.86	17230449	100174280.000
06/20/2013	5.78	5.81	5.36	5.42	15679080	88176872.000
06/21/2013	5.23	5.52	5.16	5.49	9840389	52989824.000
06/24/2013	5.42	5.51	5.02	5.08	11698012	62028036.000
06/25/2013	5.03	5.31	4.63	5.26	18494376	93694048.000
06/26/2013	5.26	5.43	5.17	5.39	16918328	90420816.000
06/27/2013	5.40	5.46	5.07	5.07	18000227	95322640.000
06/28/2013	4.98	5.16	4.87	4.95	13177015	66251872.000
07/01/2013	4.90	5.15	4.87	5.14	8677109	43867668.000
07/02/2013	5.13	5.26	5.08	5.22	10741046	55897412.000
07/03/2013	5.15	5.24	4.92	5.19	15661636	80244520.000
07/04/2013	5.12	5.27	5.00	5.15	12925529	67110488.000
07/05/2013	5.14	5.28	5.13	5.17	12022430	62919992.000
07/08/2013	5.10	5.10	4.83	4.84	11121383	55045728.000
07/09/2013	4.85	4.91	4.72	4.80	9796012	47282536.000
07/10/2013	4.80	4.95	4.77	4.95	9655919	47101380.000
07/11/2013	4.94	5.18	4.90	5.13	14385154	73227608.000
07/12/2013	5.11	5.30	5.08	5.16	18295977	95595024.000
07/15/2013	5.27	5.43	5.16	5.42	26080293	138869840.000
07/16/2013	5.38	5.45	5.23	5.37	20095171	107568232.000
07/17/2013	5.32	5.66	5.30	5.47	27414770	151218192.000
07/18/2013	5.41	5.63	5.34	5.54	21875900	120858008.000
07/19/2013	5.54	5.73	5.24	5.26	23872163	132542704.000
07/22/2013	5.16	5.56	5.13	5.56	17780342	96436696.000
07/23/2013	5.56	5.75	5.51	5.69	23196252	131454808.000
07/24/2013	5.66	5.90	5.58	5.81	27508633	158779456.000
07/25/2013	5.78	5.84	5.52	5.53	20973230	119016808.000
07/26/2013	5.47	5.61	5.43	5.58	14510056	80531192.000
07/29/2013	5.52	5.66	5.48	5.52	12333380	68911040.000
07/30/2013	5.51	5.56	5.22	5.31	13338960	71797912.000
07/31/2013	5.31	5.44	5.31	5.34	10549001	56857412.000
08/01/2013	5.33	5.72	5.32	5.65	18859936	104944688.000
08/02/2013	5.67	5.76	5.58	5.64	18214596	103852632.000
08/05/2013	5.64	5.81	5.59	5.77	16445672	94871224.000
08/06/2013	5.78	5.86	5.67	5.81	18277372	106092984.000
08/07/2013	5.81	5.87	5.60	5.63	18086395	103430000.000
08/08/2013	5.60	5.73	5.55	5.67	10348237	58782416.000
08/09/2013	5.69	5.93	5.58	5.88	26952354	156656112.000
08/12/2013	5.85	5.92	5.78	5.85	18162755	106480840.000
08/13/2013	5.86	5.91	5.81	5.86	14012154	82554944.000
08/14/2013	5.85	5.89	5.69	5.73	16245800	94296856.000
08/15/2013	5.78	5.90	5.66	5.69	16685259	97012392.000
08/16/2013	5.62	5.86	5.53	5.57	17403992	99643464.000
08/19/2013	5.57	6.01	5.57	5.97	32334558	190318352.000
08/20/2013	5.93	6.03	5.85	6.00	22347956	133231640.000
08/21/2013	5.96	6.14	5.91	6.09	25417054	154342304.000
08/22/2013	6.08	6.21	6.02	6.03	22852079	140324608.000
08/23/2013	6.07	6.10	5.75	5.91	21078770	125441864.000
08/26/2013	5.89	6.03	5.83	6.00	13135700	78501560.000
08/27/2013	5.98	5.98	5.81	5.93	16313504	96385424.000
08/28/2013	5.86	5.89	5.74	5.76	14513935	84678936.000
08/29/2013	5.78	5.89	5.76	5.82	10974269	64134716.000
08/30/2013	5.80	5.85	5.53	5.56	19411611	110074560.000
09/02/2013	5.58	5.65	5.53	5.62	7150858	40192784.000
09/03/2013	5.60	5.74	5.60	5.71	8178106	46587476.000
09/04/2013	5.71	5.74	5.59	5.63	8305343	47099128.000
09/05/2013	5.63	5.72	5.55	5.68	9148265	51929456.000
09/06/2013	5.68	5.69	5.59	5.65	8119978	45915480.000
09/09/2013	5.65	5.68	5.58	5.65	11429082	64398488.000
09/10/2013	5.66	5.67	5.54	5.57	17227191	96410416.000
09/11/2013	5.58	5.59	5.34	5.40	16110039	87590648.000
09/12/2013	5.37	5.51	5.34	5.45	10312651	56497440.000
09/13/2013	5.45	5.52	5.42	5.50	7940905	43625028.000
09/16/2013	5.51	5.56	5.46	5.52	7366883	40692684.000
09/17/2013	5.51	5.66	5.47	5.56	15803448	88718856.000
09/18/2013	5.53	5.57	5.40	5.55	8240943	45477520.000
09/23/2013	5.55	5.79	5.55	5.77	20610197	118082768.000
09/24/2013	5.76	5.91	5.69	5.83	20973180	122358224.000
09/25/2013	5.84	5.85	5.71	5.74	13254226	76704984.000
09/26/2013	5.74	5.86	5.68	5.72	17013281	98679088.000
09/27/2013	5.72	5.83	5.61	5.67	10206559	58368680.000
09/30/2013	5.65	5.85	5.64	5.82	13152952	75918768.000
10/08/2013	5.81	6.07	5.80	6.05	26631551	159189168.000
10/09/2013	6.01	6.07	5.93	6.01	16233643	97567384.000
10/10/2013	6.04	6.22	5.95	5.98	23817195	145181296.000
10/11/2013	6.01	6.06	5.94	5.98	14768604	88756096.000
